"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2172018,"November 20, 2021",Illinois,Berwyn,"6802 W 26th St",4,0,0,0,0,N/A
2170438,"November 18, 2021",Maryland,Cambridge,"700 block of Greenwood Ave",3,1,0,0,2,N/A
2169719,"November 17, 2021",Illinois,"East Saint Louis","8300 block of State St",3,1,0,0,0,N/A
2170140,"November 17, 2021","New York",Newburgh,"William St and Carson Ave",4,0,0,0,1,N/A
2169494,"November 17, 2021","New York",Bronx,"815 Burke Ave",3,1,0,0,0,N/A
2168989,"November 17, 2021",Illinois,Chicago,"1240 W Randolph St",4,0,0,0,0,N/A
2167778,"November 15, 2021","New York","New York (Manhattan)","101 W 141st St",4,0,0,0,0,N/A
2167297,"November 15, 2021",Colorado,Aurora,"1200 Nome St",6,0,0,0,4,N/A
2166673,"November 14, 2021",Pennsylvania,Philadelphia,"2700 block of N Howard St",6,0,0,0,0,N/A
2166768,"November 14, 2021",Missouri,Columbia,"19 N 5th St",5,0,0,1,1,N/A
2166953,"November 14, 2021",Oregon,Chiloquin,"990 Bronco Lane",2,2,0,0,1,N/A
2166750,"November 14, 2021",Arizona,Tucson,"1655 W Ajo Way",1,0,0,4,0,N/A
2166817,"November 14, 2021",Alabama,Troy,"803 US-231 S",5,1,0,0,0,N/A
2166055,"November 13, 2021","North Carolina","Winston Salem (Winston-salem)","400 block of Gregory St",4,0,0,0,1,N/A
2167889,"November 13, 2021",Louisiana,Houma,"100 block of Emma St",4,0,0,0,2,N/A
2165600,"November 12, 2021",Virginia,Richmond,"3050 Nine Mile Rd",2,2,0,0,4,N/A
2165535,"November 12, 2021",Alabama,Birmingham,"1100 block of 33rd St SW",2,2,0,0,1,N/A
2163306,"November 9, 2021","New York",Rochester,"Clifton St and Jefferson Ave",4,0,0,0,0,N/A
2163772,"November 9, 2021",Louisiana,"Hahnville (Killona)","160 Killona Dr",4,1,0,0,1,N/A
