"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2298872,"May 10, 2022",Maryland,Baltimore,"2800 block of Boarman Ave",5,0,0,0,1,N/A
2298836,"May 10, 2022",Illinois,Chicago,"4800 block of S Ada St",4,1,0,0,1,N/A
2299407,"May 10, 2022",Illinois,Chicago,"6400 block of S Richards Dr",6,0,0,0,0,N/A
2298519,"May 10, 2022",Pennsylvania,Philadelphia,"Allegheny Ave and G St",4,0,0,0,0,N/A
2298591,"May 10, 2022",Maryland,Baltimore,"700 block of N Rose St",3,1,0,0,0,N/A
2299176,"May 10, 2022",Texas,Brookshire,"Purdy and 4th St",3,1,0,0,0,N/A
2297823,"May 9, 2022",Michigan,Detroit,"12600 block of McCoy Cir",4,0,0,0,2,N/A
2298092,"May 9, 2022",Alabama,Tuscaloosa,"4420 21st St",5,0,0,0,1,N/A
2297261,"May 8, 2022",Georgia,Clarkston,"6500 block of Old Hampton Dr",3,3,0,0,2,N/A
2296191,"May 7, 2022",Kentucky,Lexington,"1560 LaSalle Rd",3,2,0,0,0,N/A
2296224,"May 7, 2022",Florida,Miami,"NW 37th St and NW 32nd Ave",4,0,0,0,0,N/A
2296808,"May 7, 2022",Texas,Garland,"800 block of Magnolia Dr",2,2,0,0,1,N/A
2296037,"May 6, 2022",Louisiana,"New Orleans","4800 block of Alcee Fortier Blvd",4,2,0,0,1,N/A
2296064,"May 5, 2022",Washington,Sunnyside,"613 S 6th St",5,0,0,0,1,N/A
2294515,"May 3, 2022",Kansas,"Cowley (county)",N/A,4,0,0,0,0,N/A
2293603,"May 3, 2022",Louisiana,"Baton Rouge","2100 block of North 39th St",5,0,0,0,0,N/A
2294477,"May 3, 2022",Texas,Beaumont,"3580 S Martin Luther King Jr Pkwy",5,0,0,0,0,N/A
2291712,"May 1, 2022",Louisiana,Lafayette,"500 Jefferson St",11,0,1,0,0,N/A
2291578,"May 1, 2022",Ohio,Springfield,"Clifton Ave and Rice St",4,1,0,0,0,N/A
2292452,"May 1, 2022",Florida,"Tarpon Springs","Safford Ave and Boyer St",6,0,0,0,0,N/A
2292613,"May 1, 2022","South Carolina","North Charleston","US-52 and Ashley Phosphate Rd",3,1,0,0,0,N/A
2291618,"April 30, 2022",Georgia,Atlanta,"445 Cleveland Ave SE",4,0,0,1,0,N/A
2291470,"April 30, 2022",Mississippi,Jackson,"1207 Mississippi Street",5,0,0,1,2,N/A
2291185,"April 29, 2022",Tennessee,Jackson,"310 North Pkwy",2,2,0,0,1,N/A
2290903,"April 29, 2022",Louisiana,"New Orleans","3201 Magazine St",6,0,0,0,1,N/A
2291534,"April 29, 2022",Mississippi,Laurel,"Ferrell St and Poplar Dr",4,0,0,0,1,N/A
2290026,"April 28, 2022",Alabama,Bessemer,"1800 block of Berkley Ave",3,1,0,0,0,N/A
2288928,"April 27, 2022",Illinois,Chicago,"4400 block of W Jackson Blvd",4,0,0,0,0,N/A
2288842,"April 27, 2022",Mississippi,Biloxi,"2688 Beach Blvd",0,4,0,0,0,N/A
2289610,"April 27, 2022",Texas,"San Antonio","3399 Wurzbach Rd",5,0,0,0,0,N/A
2289308,"April 27, 2022",Louisiana,Opelousas,"700 block of Mia St",3,2,0,0,3,N/A
2289382,"April 27, 2022",Arizona,Phoenix,"6719 W Thomas Rd",4,0,0,0,1,N/A
2287581,"April 25, 2022",Alabama,Birmingham,"821 3rd Ave W",3,1,0,0,0,N/A
2286363,"April 24, 2022","South Carolina","Myrtle Beach","12th Ave N and Withers Alley",3,1,0,0,1,N/A
2286061,"April 24, 2022",Indiana,Lafayette,"2905 Westchester Ln W",3,2,1,0,1,N/A
2285772,"April 23, 2022",Illinois,Chicago,"2000 block of W 51st St",2,2,0,0,0,N/A
2285612,"April 23, 2022","North Carolina","Rocky Mount","1171 Jefferies Rd",4,0,0,0,1,N/A
2285860,"April 23, 2022",Georgia,Atlanta,"135 Andrew Young International Blvd NW",5,0,0,0,0,N/A
2286089,"April 23, 2022",California,"San Bernardino","1036 W Highland Ave",4,1,0,0,0,N/A
2285158,"April 22, 2022",Virginia,Petersburg,"200 block of Holly Hill Dr",5,1,0,0,0,N/A
2284819,"April 22, 2022","District of Columbia",Washington,"2900 block of Van Ness St NW",4,0,0,1,0,N/A
2285242,"April 22, 2022",Ohio,Cincinnati,"Kemper Ln and E McMillan St",4,0,0,0,0,N/A
2285267,"April 21, 2022",Arkansas,"Mountain View","646 Northcutt Rd",0,4,0,0,1,N/A
2283535,"April 20, 2022",Minnesota,Duluth,"715 E 12th St",0,4,0,1,0,N/A
2281171,"April 17, 2022",Pennsylvania,Philadelphia,"2800 block of Orkney St",4,0,0,0,0,N/A
2281541,"April 17, 2022",Oregon,Portland,"16150 SE Stark St",3,1,0,0,0,N/A
2280875,"April 17, 2022","South Carolina",Furman,"72 Ashley Circle Rd",9,0,0,0,0,N/A
2281164,"April 17, 2022",California,Sacramento,"7200 block of Franklin Blvd",3,1,0,0,1,N/A
2281483,"April 17, 2022",Florida,Miami,"15020 South River Dr",3,1,0,0,0,N/A
2280711,"April 17, 2022",Pennsylvania,Pittsburgh,"900B Madison Ave",9,2,0,0,0,N/A
2282256,"April 17, 2022",Louisiana,Baldwin,"Rosebud Rd and Baptiste St",5,0,0,0,0,N/A
2280204,"April 16, 2022","South Carolina",Columbia,"100 Columbiana Cir",9,0,0,0,3,N/A
2280495,"April 16, 2022",Maryland,Baltimore,"5300 block of Maple Ave",3,1,0,0,0,N/A
2281244,"April 16, 2022",Nevada,"North Las Vegas","4900 block of Support St",4,0,0,0,0,N/A
2281410,"April 16, 2022",Texas,Daingerfield,"FM 144 and Edwards Rd",6,1,0,0,0,N/A
2280017,"April 16, 2022","New York",Syracuse,"300 block of S Clinton St",4,1,0,0,1,N/A
2280504,"April 15, 2022",California,Stockton,"300 block of Coventry Dr",2,2,0,0,0,N/A
2276339,"April 12, 2022","New York",Brooklyn,"36th St and 4th Ave",10,0,0,0,1,N/A
2277011,"April 12, 2022","New York",Bronx,"2825 Olinville Ave",3,1,0,0,0,N/A
2275242,"April 10, 2022",Louisiana,"Baton Rouge","2700 block of Lorraine St",4,0,0,0,0,N/A
2274790,"April 10, 2022",Iowa,"Cedar Rapids","415 3rd St SE",9,3,0,0,2,N/A
2274803,"April 10, 2022",Illinois,Elgin,"958 Congdon Ave",4,2,0,0,0,N/A
2275283,"April 10, 2022",California,Willowbrook,"Blakley Ave and E 122nd Pl",5,2,0,0,0,N/A
2274783,"April 10, 2022",Indiana,Indianapolis,"4270 W 38th St",5,1,0,0,0,N/A
2274296,"April 9, 2022",Florida,Miami,"6816 NW 15th Ave",4,0,0,0,0,N/A
2274855,"April 9, 2022","District of Columbia",Washington,"O St SW and Half St SW",4,0,0,0,2,N/A
2272394,"April 6, 2022",Pennsylvania,Philadelphia,"Griscom St and Arrott St",4,0,0,1,0,N/A
2270747,"April 4, 2022",Kentucky,Covington,"Russell St and W 16th St",4,0,0,0,1,N/A
2270578,"April 4, 2022",Connecticut,Hartford,"Bedford St and Mather St",3,1,0,0,0,N/A
2269429,"April 3, 2022","New York",Buffalo,"400 block of Genesee St",4,0,0,0,0,N/A
2269100,"April 3, 2022",Texas,Dallas,"5050 Cleveland Rd",16,1,0,0,2,N/A
2269745,"April 3, 2022",California,"San Francisco","670 Brunswick St",2,2,0,0,0,N/A
2269082,"April 3, 2022",California,Sacramento,"J St and 10th St",11,6,1,0,3,N/A
2268723,"April 2, 2022","North Carolina",Shelby,"1851 E Dixon Blvd",3,1,0,0,0,N/A
2268762,"April 2, 2022",Louisiana,Monroe,"100 Sterlington Rd",4,1,1,0,0,N/A
2269059,"April 2, 2022",Colorado,"Colorado Springs","2400 block of Barkman Dr",4,0,0,0,1,N/A
2269034,"April 2, 2022",Louisiana,Shreveport,"2025 Marshall St",3,1,0,0,0,N/A
2269259,"April 1, 2022","South Carolina",Walterboro,"1900 Block of Logan Farm Rd",4,0,0,0,4,N/A
2264094,"March 26, 2022",California,Hollister,"Rustic St and Roble St",3,2,0,0,1,N/A
2265029,"March 26, 2022",Ohio,Cleveland,"1437 St Clair Ave NE",4,0,0,0,0,N/A
2263608,"March 25, 2022",Colorado,"Colorado Springs","820 Citadel Dr E",2,2,0,0,0,N/A
2260129,"March 22, 2022",California,Stockton,"1800 West Lane",3,1,0,0,1,N/A
2259262,"March 21, 2022",Connecticut,Waterbury,"23 Scovill St",4,0,0,0,1,N/A
2259413,"March 21, 2022",Illinois,Chicago,"1650 E 79th St",2,2,0,0,1,N/A
2258324,"March 20, 2022",Wisconsin,Milwaukee,"2822 W Melvina St",4,0,0,0,0,N/A
2258156,"March 20, 2022",Texas,Austin,"E 6th St and Neches St",4,0,0,0,0,N/A
2258224,"March 20, 2022",Texas,Houston,"2955 S Sam Houston Pkwy E",3,1,0,0,0,N/A
2257316,"March 19, 2022",Virginia,Norfolk,"320 Granby St",2,3,0,0,0,N/A
2258012,"March 19, 2022","North Carolina",Fayetteville,"1707 Owen Dr",3,3,0,0,2,N/A
2257739,"March 19, 2022",Arkansas,Dumas,"611 Highway 65 S",26,1,0,0,1,N/A
2257674,"March 19, 2022",Virginia,"Madison Heights","351 Old Wright Shop Rd",4,1,0,0,0,N/A
2258182,"March 19, 2022",Texas,Dallas,"5214 Botham Jean Blvd",9,1,0,0,0,N/A
2256453,"March 18, 2022",Texas,"Fort Worth","1600 block of NW Loraine St",3,1,0,0,0,N/A
2257778,"March 18, 2022",Louisiana,"New Iberia","200 block of C V Jackson Dr",5,0,0,0,1,N/A
2257132,"March 17, 2022",Michigan,Lansing,"2200 block of E Michigan Ave",4,0,0,0,0,N/A
2256398,"March 17, 2022",Illinois,Chicago,"4100 block of W Monroe St",4,0,0,0,0,N/A
2255816,"March 17, 2022",Florida,"Fort Lauderdale","1300 W Broward Blvd",2,2,0,0,1,N/A
2255832,"March 16, 2022","New Jersey",Irvington,"800 block of 18th Ave",3,1,0,0,0,N/A
2256080,"March 16, 2022","New Jersey",Irvington,"862 18th Ave",3,1,0,0,0,N/A
2254579,"March 15, 2022",Alabama,Ozark,"1001 US Hwy 231",5,0,0,0,2,N/A
2253714,"March 14, 2022",Pennsylvania,Reading,"1300 block of Meade St",3,1,0,0,3,N/A
2252873,"March 13, 2022",Illinois,Chicago,"7902 S Exchange Ave",7,0,0,0,0,N/A
2252500,"March 13, 2022","New York",Rochester,"471 State St",2,2,0,0,0,N/A
2252792,"March 13, 2022","South Carolina",Columbia,"810 Pulaski St",4,1,0,0,3,N/A
2252719,"March 12, 2022",Maryland,Baltimore,"Gwynn Oak Ave and Liberty Heights Ave",1,3,0,0,0,N/A
2253654,"March 12, 2022",Alabama,Autaugaville,"200 block of N Pickett St",3,1,0,0,2,N/A
2251416,"March 11, 2022",Ohio,Columbus,"1644 E Dublin-Granville Rd",2,2,0,0,0,N/A
